review_text,review_date,flavour_name
I have received a fake product. There are worms in the protein powder. It looks like a lot of flour (atta) has been mixed in it. Tastes awful as well. I found out that there is a cut on the packaging. Someone smartly removed the whey and added flour (atta) with worms and put the label back. The cut was made deep down the jar so that the user does not notice it until he has consumed a lot of the product. Very disappointed. My diabetic father consumed it and had to visit the doctor twice due to severe digestive problems after consuming this. I don't know who to turn to for help.,Reviewed in India on 12 July 2024,Flavour Name: Alphonso MangoSize: 2 Lbs
Powder had white particles (God knows what were they!). All labels added 's' to the product name!!!,Reviewed in India on 10 September 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Seems they have started mixing plant based protein Powder in it... it now irritates throat... And taste also gives a hint of pea protein Powder ... I suspect..My personal opinion,Reviewed in India on 5 September 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Duplicate product... By consuming I got itching on my whole body. Applied for return.. no one came for pickup,Reviewed in India on 5 September 2024,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
Fake product,Reviewed in India on 13 September 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
throat itching and full Gas,Reviewed in India on 30 August 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
The packaging and box of item was big but the amount in it is too less. Never shopping again.,Reviewed in India on 12 August 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"As soon as you open the Jar but dont find it sealed, return it. Unfortuntely I opened my jar after 4 months of delivery and I was surprised there was no seal. I had to throw away product worth 3.7k as it cant be returned now.",Reviewed in India on 29 July 2024,Flavour Name: Cookies & CreamSize: 2 Lbs
"The product is duplicate , no use of the unique verification code",Reviewed in India on 6 August 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Seal wasnt there and the lid was loose,Reviewed in India on 23 August 2024,Flavour Name: Cookies & CreamSize: 2 Lbs
"This is worse than muscleblaze, I've ordered alphonso mango flavor.it's mixability is pathetic. after shaking for 2 mins, it doesn't mix completely.don't buy",Reviewed in India on 1 August 2024,Flavour Name: Alphonso MangoSize: 2 Lbs
TOTALLY FAKE PRODUCT.,Reviewed in India on 19 August 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
ON authentication is failed. Please check carefully,Reviewed in India on 9 August 2024,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
मुझे काम नही किया,Reviewed in India on 31 July 2024,Flavour Name: Alphonso MangoSize: 2 Lbs
"I received fake product, when i checked the code it was 7 characters instead of 6. Always check the code before using the product. Be aware of fake protein powders",Reviewed in India on 25 June 2024,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
Packaging is already loss and protein inner protein already very bad my experience authenticity 0,Reviewed in India on 20 July 2024,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
"i dont know whats wrong with my package, ordered double chocolate and it tastes bitter(not dark chocolaty bitter) when mixed with water",Reviewed in India on 26 June 2024,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
No seal and powder spilled up on ooening the lid. Received already used product,Reviewed in India on 19 July 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"I have been regular user of this product and it am aware of this products. But this time by the taste of the product it seems it is not a genuine product. Had stomach upset after consuming this.I want to return this product, but Amazon or seller won’t allow it to return.",Reviewed in India on 5 May 2024,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
