review_text,review_date,flavour_name
I was able to validate the authenticity of the protein box but there was no scoop found inside which leaves me questioning my authenticity verification.,Reviewed in India on 30 August 2024,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
"Taste not good,in this product mentioned double rich chocolate",Reviewed in India on 21 August 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"I have ordered from Amazon India. I consumed it. Than my son send me the Over same product from USA than I consumed it also. Now I realised  quality and taste Difference between both. That USA one is far better than Amazon India. I wonder same product ,same brand , same flavour how can it be different?",Reviewed in India on 30 May 2024,Flavour Name: Vanilla Ice CreamSize: 2 Lbs
It tastes bad.Has a soap like taste and also does not dissolve well.Bad choice.,Reviewed in India on 9 July 2024,Flavour Name: Vanilla Ice CreamSize: 2 Lbs
"Not mixing well in water, is it a proper storage problem or bad quality, a bit confused, kindly help.",Reviewed in India on 15 May 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"First of all I'm a big fan of Optimum Nutrition. I'm using their products since 2014.Attached screenshots are comparison of their old formula and new formula. You guys can see the difference.I had weight lifting gap be for few years due to my career. I recently started lifting again. I just bought this product and it gave me digestive issues the next day.Then I checked the formula and compared it with my old boxes and find out they have completely removed the digestive enzymes. It'll be difficult for lactose intolerant people.They have removed aminogen (patened enzyme) and lactase from their formula. Due to this many people could have digestive issues such as gas, bloating, gut irritability etc. especially for ibs people.Tip:- take it with banana and fiber you'll feel better.",Reviewed in India on 21 January 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"The quality of Indian products doesn’t really match the quality of imported units. Imported ones taste 10 times better and mixes really well.They keep mentioning that they maintain high quality standards of manufacturing(which is true in case of the US, UK manufacture) but that’s not the case with the product manufactured in India.Yes, the units we receive now are manufactured in India by Tirupati Lifesciences. But the quality doesn’t seem to be as great as it was before.And we pay the same price for this as we did for imported units.ON should look into this quality issue for its international manufacturing.We pay a very good amount and we deserve best quality.",Reviewed in India on 28 January 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
I am a regular user of ON whey protein. But it’s first time I am getting it without measuring spoon. Bit confused because of that regarding authenticity,Reviewed in India on 5 November 2023,Flavour Name: StrawberrySize: 2 Lbs
There is no spoon in my purchase. Where is it? How can I decide the quantity?,Reviewed in India on 27 October 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"I still didn't see any growth whatsoever and I also feel like consuming this makes me more lazy and lethargic.I've never been so sluggish and unproductive. Also tastes disgusting too bad there was no other flavor available and this was my first experience with this product, it makes me puke sometimes. Also you need to either use blender or shake it pretty hard, the spoon does not mix it at all.",Reviewed in India on 8 February 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked.Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:14Loaded: 21.45%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:14 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions off, selectedAudio Trackdefault, selectedFullscreenThis is a modal window.


Only half is available inside and over the top cover inside PE PE written what is that expected ON ON branding and not sure it's 1kg or re-packed .looks good on package top like very tight then I ordered in orginal store .",Reviewed in India on 7 May 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"If you’re going for rich chocolate, the taste is not at all good at this price range!Fuel one of muscle blaze offers a much better taste at a price 1k less than this!",Reviewed in India on 8 July 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Product seems genuine. The only worry was the scoop is a transparent scoop with no logo on it. People who use Opitimum will be aware of the Golden scoop with Logo. I authenticated the product on Optimum website as well as had a call with the customer care- they told me due to environmental concerns the plastic  for the scoop is now transparent. Doesn't make sense at all? Taste wise is Ok.. flavours can be same as the actual rocky road, nor do other flavours except for the generic onces i.e vanilla, chocolate etc. Giving it 2 stars as of now, because of the scoop and the explanation given to me.",Reviewed in India on 14 July 2021,N/A
